"atributo","nome","valor","protocolo","servico","tipo","campoRelacionado"
"marcasDeReferencia","Marcas de referência","3M QUALIDADE SIMILAR OU SUPERIOR","2020.11-59.641","Compra de Materiais","STRING","null"
"quantidade","Quantidade","90","2020.11-59.641","Compra de Materiais","INTEGER","descricaoDoItem"
"email","email","livia.xavier@alpar.com.br","2020.11-59.641","Compra de Materiais","ID","null"
"name","Nome","Livia","2020.11-32.640","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2020.11-32.640","Poda / Corte de Árvore","STRING","null"
"phone","Telefone","","2020.11-32.640","Poda / Corte de Árvore","STRING","null"
"cpf","Cpf","111.111.111-11","2020.11-32.640","Poda / Corte de Árvore","ID","null"
"email","email","livia.xavier@alpar.com.br","2020.11-32.640","Poda / Corte de Árvore","ID","null"
"name","Nome","Livia","2020.11-32.639","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2020.11-32.639","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2020.11-32.639","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2020.11-32.639","Poda / Corte de Árvore","ID","null"
"name","Nome","Livia","2020.11-32.638","Poda / Corte de Árvore","STRING","null"
"lastname","Sobrenome","Xavier","2020.11-32.638","Poda / Corte de Árvore","STRING","null"
"email","email","livia.xavier@alpar.com.br","2020.11-32.638","Poda / Corte de Árvore","ID","null"
"cpf","Cpf","111.111.111-11","2020.11-32.638","Poda / Corte de Árvore","ID","null"
"zipcode","CEP","05088-000","2020.11-59.637","Compra de Materiais","STRING","null"
"street","Logradouro","R. Aliança Liberal","2020.11-59.637","Compra de Materiais","STRING","null"
"neighborhood","Bairro","Bela Aliança","2020.11-59.637","Compra de Materiais","STRING","null"
"city","Cidade","São Paulo","2020.11-59.637","Compra de Materiais","STRING","null"
"state","Estado","SP","2020.11-59.637","Compra de Materiais","STRING","null"
"categoria","Categoria","Abaixador de língua","2020.11-59.637","Compra de Materiais","STRING","null"
"item","Item","348807 - Abaixador de língua madeira","2020.11-59.637","Compra de Materiais","STRING","null"
"descricao","Descrição","Abaixador língua, material: madeira, tipo: descartável, comprimento: 14 cm, formato: tipo espátula, largura: 1,50 cm, espessura: 2 mm.","2020.11-59.637","Compra de Materiais","STRING","null"
"descricaoComplementar","Descrição complementar","extremidade arredondada","2020.11-59.637","Compra de Materiais","STRING","null"
"apresentacao","Apresentação","Pacote 100,00 UN","2020.11-59.637","Compra de Materiais","STRING","null"
"fotoIlustrativa","Foto Ilustrativa","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxATEhUSEBIVFRUVFRISFRUSFRUWGBUVFxUXFhUVFxYYHSggGRolHRUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGi0iICUtLS0tLS0tLS0tLS0tLS0tLS8tLS0tLS0tLS0tLSstLS0tLS0tLS0tLS0tNy0tLTc3Lf/AABEIAOEA4QMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAAAgMBBAUGB//EADMQAAIBAgQDBgYCAgMBAAAAAAABAgMRBCExURJBYQVxgZGx0TJSocHh8CJCYvETcpIG/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAJREBAAICAQMEAgMAAAAAAAAAAAECAxExBBIhIkFRYTKBQlJx/9oADAMBAAIRAxEAPwD7iAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACuvVUVdnOn2o+UV4md8ta8rVrM8OqYuciXazzSir95qyxVR6yfg7GNuqrHC8YrS9DcyedjiaizUn45+pv4LtFyajPJ8nuTTqq2nU+C2KY8umDCMnSyAAAAAAAAAAAAAAAAAAAAMXAyYuc3F9p2doK/Vmqu1KnTyOa3VUrOmkYrTG3cuatbtCEXbNvoatLtRaSVuq9jk06iave9ymTqo1HatTFvl212rDaX09zYpYyEtHns8jzxlmUdVeOV5w1djtWDcU1onn3bnMSL8JjnHKeceuq/AxFNJ3i7xfwv7DJMX9UftNN19MtKrGz4vB93Jk0ixoojeLt4p9DntDRNGbAyRGkuxgMTxKz+Ja9epuI87SqOLUlyO7QrKSTR6WDL3RqeXJkpqdrQAdDMAAAAAAAAAAAAAADDYGSM0a1XH048792ZWu04dfIznJTiZW7Z+HHqRs2nqmRsdfFYeNVcUGuL16M5TTTtJWezPMy4prP066Xi0faNyDp53jz1W/dsy5xI8JlpfaMJ3JWIThzWvr3iE/wAomJ+UzCbLMPWsnGWcXy26rqVoMtEzE7hWY34WqSeW31W5ipC/qn1NSvCV1KHxLlykuafv0NnD11NXXc09U9id7NaQpz8N1sywhXj/AGWe63XujEJeTKcJ5WGzgsTwPPR6+5rXCLVtNZ3CsxvxL0kWZOX2Ziv6Pw9jqHq48kXruHHas1nQADRUAAAAAAAAAMMAzn9r1GopLm7Py0NLFY+cnaLtHpq+9mnO71bfizhy9TExNYb0xTzKRlMwv3f8mUsunQ5Yl0aThUa0bT6FtTE8StVjdfNH4l4cyglcvFphWaxKF7Zp8Ud1y71qiUWmV1sOnmnwy3X7masakoO0/wD0tH/2XJ9SloTDesQlTT79xCaJplPCfKmMmsnr+6FhmcU8mVJ2yfg9xE6WTsVzjZ8UVnzXzL3LDKJQnTqJpNaFEo8L/wAZPLpLbuZlrhd1pzX3NhxjJWejROtoRFimjJpuEtV9VuWsgZR2sDieNZ6rX3OITo1XGSa/2bYck0n6UvTuh6IFdCqpK6LD04ncbcYACQAAAAAa+IxUY667I0pdpvlFeLNbG343xb5d3IqPPyZ7bmI8OimONbUyjZ7ehktZjh2y9Dm03VMyv1onw7kXEgL7+a+6JL9sRaFidnKaEldWeZBT381p+CSZbY1amFlDOnmucfbYnRrp961vqu9GzchVw8ZZrKXJoiamxMOzNfilB2l58n7MvUk/3NFE6RtbuMpkmyuUbd3oImUrCClwvP4X9H7EeIy2nqO4mqzEwurrVZr2fQjRqKSv4W2exXQlw/xen9X9n1M4hcL41o8pL0kTvflGl4MJ3MoDZwOJ4Hno/wBudmLPPHR7OxP9JeHsdnT5dT2y581P5Q6QMIydznAAAAAFVahGWqNGr2b8rOmDK+GtuVq3mOHBqUWtfqV2PQOKeprVcFF6Zenkc1+mmPxbRmj3cjNCyfTuNytg5Llfu9jWcGc9qTXmGtbRPCqUP1exCxfFiST1KLbUmOHbL92LHTff9GRv59QlhS381mvwSuYQ4Vyy9H4E7Qm7PJ5o154dxzjdrbmu72LOJrVW68vPl4lqkJ8jXp1U/T/exZYVaClmsnuvvuU8Uo5SXt4P7FZhZKdPby9jCLYy2I1Iba+v5Km0ZQTVmYoTz4J621+Ze4i7mKtO62azTXJ7k7TpGC/45cD+F/C9v8fY2UUxaqRcJ5S/bSTIYeq7uEvijr1XJkqtozH6mAidodnBYniXVa+5tHAw9VxaaO3RqKSTR6ODL3RqeXJkp2ysAB0MwAAAAAAAGGiFSjF6osBExsaFXs9cn5+5qVMLJcvudoxYwv01bceGlctocFJmGr6/U7NXDReq8VkalTAPk7nNbp7x9tq5o93O4NvroYb3y9PM2alGS1X73lckc81mGsTtVcjw20y6cvwTcFyy9PIxJNarxX3RG1tClvl6eZY0mrNXRBLbNGOHZ26ciyFc6Mo5xzW3Ne4hVT/f2xeqm+Xp5kKtFSzWT3K6ShUpt5rJ+veRhLwexhTcXaSts+TJ1IJ87Pk/synnadq6tO+adpLR/Z9Cuac1xLKpDlvumTU2nZ6/uhiad+KPxL6rZkxaCYWYaqpK68tnzRcaFRqLVWPwyymtnubqlfNFoVlI2sFieF2ej+jNW4ZetprO4VtG409EmZOd2dib/wAHry9joo9THeLxuHFas1nUgALoAAAAAAAAAAAMWMgDDjc1qmCi9Mu72NoFbUi3MJiZjhyquBktM+7XyNVwa9jvWIVKUXk0n3nNbpYn8Wtc0xy4Tgn0fTIxwtdeqyZ1amAT0du/M1p4SS/GZzWwXr7Noy1lpxa/Dy+hHha+HLo9PwXzp7q5W4Pk79H7mTSEJTVrTVr5Z6PuZVOg45xvJbc13bl8mtJZdHz8SMabXw5dHmvwEqk4yWfnzRD4XaXg9yypFN5/wlvyfuYd/hmvz1T3KTVO0JR1aV01/JbrddSnCz4HwXvF/A91sXK8Xm8uT+z2ZViYJrprl/V/MhHkmG6ZZq4au8ozyfJ8pdUzasWhUi3quR2sFiOOPVao4hf2fUaqJb5G+DJ2218sstNxt3QAem5AAAAAAAAAAAAAAAAAAADFjIArqUYvVGrVwXyvzN4GdsVbcwtF5jhxqlGS1WX0KHTt8Lt9Ud+xRVwkHqrdxzX6X+stq5/lxm/mWXmiDp5fxaa+V6eD5HSqYFr4WalTDbpp7rL/AGctsdq8w2jJWWkmvheXSX2fMxGPC/s/cvq0na0lxLpkzXUZLKD4l8s8n5symGkShVh8uX+MldX+3gReLcOWXSV/o8y1uP8AZSj6eeaIypU3zv4onyOdiP8A6Gz4Y03KT5aeJ7DA4WKSnq2k8+VzzkcFFP8AjFLe3Pvkek7Km3DPO2Se5v0mu/1fpjn32+G8AD1HGAAAAAAAAAAAAAAAAAAAAAAAAAABYjKNyQI0NWpg4vTLuNSvgHzV/U6oMr4KWXrktDgui46PwkrkZQe0fP8AB3nFEXQh8q8jnnpPiWsZ3Eo4eUnZPy5eJ26NJRSS0RJQS0RI3w4Yx/6zyZJuAA3ZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP//Z","2020.11-59.637","Compra de Materiais","STRING","null"
"marcasDeReferencia","Marcas de referência","3M QUALIDADE SIMILAR OU SUPERIOR","2020.11-59.637","Compra de Materiais","STRING","null"
"quantidade","Quantidade","100","2020.11-59.637","Compra de Materiais","INTEGER","descricaoDoItem"
"hospital","Hospital","Hospital de Campanha H CMO","2020.11-59.637","Compra de Materiais","STRING","null"
"solicitanteNome","Solicitante Nome","Fernando","2020.11-59.637","Compra de Materiais","STRING","null"
"phone","Telefone","1996066980","2020.11-59.637","Compra de Materiais","STRING","null"
"email","email","fernando.jobim@alparservice.com.br","2020.11-59.637","Compra de Materiais","ID","null"
"zipcode","CEP","01141-000","2020.11-59.636","Compra de Materiais","STRING","null"
"street","Logradouro","-","2020.11-59.636","Compra de Materiais","STRING","null"
"neighborhood","Bairro","Várzea da Barra Funda","2020.11-59.636","Compra de Materiais","STRING","null"
"city","Cidade","São Paulo","2020.11-59.636","Compra de Materiais","STRING","null"
"state","Estado","SP","2020.11-59.636","Compra de Materiais","STRING","null"
"categoria","Categoria","Abaixador de língua","2020.11-59.636","Compra de Materiais","STRING","null"
"item","Item","348807 - Abaixador de língua madeira","2020.11-59.636","Compra de Materiais","STRING","null"
"descricao","Descrição","Abaixador língua, material: madeira, tipo: descartável, comprimento: 14 cm, formato: tipo espátula, largura: 1,50 cm, espessura: 2 mm.","2020.11-59.636","Compra de Materiais","STRING","null"
"descricaoComplementar","Descrição complementar","extremidade arredondada","2020.11-59.636","Compra de Materiais","STRING","null"
"apresentacao","Apresentação","Pacote 100,00 UN","2020.11-59.636","Compra de Materiais","STRING","null"
"fotoIlustrativa","Foto Ilustrativa","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxATEhUSEBIVFRUVFRISFRUSFRUWGBUVFxUXFhUVFxYYHSggGRolHRUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGi0iICUtLS0tLS0tLS0tLS0tLS0tLS8tLS0tLS0tLS0tLSstLS0tLS0tLS0tLS0tNy0tLTc3Lf/AABEIAOEA4QMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAAAgMBBAUGB//EADMQAAIBAgQDBgYCAgMBAAAAAAABAgMRBCExURJBYQVxgZGx0TJSocHh8CJCYvETcpIG/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAJREBAAICAQMEAgMAAAAAAAAAAAECAxExBBIhIkFRYTKBQlJx/9oADAMBAAIRAxEAPwD7iAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACuvVUVdnOn2o+UV4md8ta8rVrM8OqYuciXazzSir95qyxVR6yfg7GNuqrHC8YrS9DcyedjiaizUn45+pv4LtFyajPJ8nuTTqq2nU+C2KY8umDCMnSyAAAAAAAAAAAAAAAAAAAAMXAyYuc3F9p2doK/Vmqu1KnTyOa3VUrOmkYrTG3cuatbtCEXbNvoatLtRaSVuq9jk06iave9ymTqo1HatTFvl212rDaX09zYpYyEtHns8jzxlmUdVeOV5w1djtWDcU1onn3bnMSL8JjnHKeceuq/AxFNJ3i7xfwv7DJMX9UftNN19MtKrGz4vB93Jk0ixoojeLt4p9DntDRNGbAyRGkuxgMTxKz+Ja9epuI87SqOLUlyO7QrKSTR6WDL3RqeXJkpqdrQAdDMAAAAAAAAAAAAAADDYGSM0a1XH048792ZWu04dfIznJTiZW7Z+HHqRs2nqmRsdfFYeNVcUGuL16M5TTTtJWezPMy4prP066Xi0faNyDp53jz1W/dsy5xI8JlpfaMJ3JWIThzWvr3iE/wAomJ+UzCbLMPWsnGWcXy26rqVoMtEzE7hWY34WqSeW31W5ipC/qn1NSvCV1KHxLlykuafv0NnD11NXXc09U9id7NaQpz8N1sywhXj/AGWe63XujEJeTKcJ5WGzgsTwPPR6+5rXCLVtNZ3CsxvxL0kWZOX2Ziv6Pw9jqHq48kXruHHas1nQADRUAAAAAAAAAMMAzn9r1GopLm7Py0NLFY+cnaLtHpq+9mnO71bfizhy9TExNYb0xTzKRlMwv3f8mUsunQ5Yl0aThUa0bT6FtTE8StVjdfNH4l4cyglcvFphWaxKF7Zp8Ud1y71qiUWmV1sOnmnwy3X7masakoO0/wD0tH/2XJ9SloTDesQlTT79xCaJplPCfKmMmsnr+6FhmcU8mVJ2yfg9xE6WTsVzjZ8UVnzXzL3LDKJQnTqJpNaFEo8L/wAZPLpLbuZlrhd1pzX3NhxjJWejROtoRFimjJpuEtV9VuWsgZR2sDieNZ6rX3OITo1XGSa/2bYck0n6UvTuh6IFdCqpK6LD04ncbcYACQAAAAAa+IxUY667I0pdpvlFeLNbG343xb5d3IqPPyZ7bmI8OimONbUyjZ7ehktZjh2y9Dm03VMyv1onw7kXEgL7+a+6JL9sRaFidnKaEldWeZBT381p+CSZbY1amFlDOnmucfbYnRrp961vqu9GzchVw8ZZrKXJoiamxMOzNfilB2l58n7MvUk/3NFE6RtbuMpkmyuUbd3oImUrCClwvP4X9H7EeIy2nqO4mqzEwurrVZr2fQjRqKSv4W2exXQlw/xen9X9n1M4hcL41o8pL0kTvflGl4MJ3MoDZwOJ4Hno/wBudmLPPHR7OxP9JeHsdnT5dT2y581P5Q6QMIydznAAAAAFVahGWqNGr2b8rOmDK+GtuVq3mOHBqUWtfqV2PQOKeprVcFF6Zenkc1+mmPxbRmj3cjNCyfTuNytg5Llfu9jWcGc9qTXmGtbRPCqUP1exCxfFiST1KLbUmOHbL92LHTff9GRv59QlhS381mvwSuYQ4Vyy9H4E7Qm7PJ5o154dxzjdrbmu72LOJrVW68vPl4lqkJ8jXp1U/T/exZYVaClmsnuvvuU8Uo5SXt4P7FZhZKdPby9jCLYy2I1Iba+v5Km0ZQTVmYoTz4J621+Ze4i7mKtO62azTXJ7k7TpGC/45cD+F/C9v8fY2UUxaqRcJ5S/bSTIYeq7uEvijr1XJkqtozH6mAidodnBYniXVa+5tHAw9VxaaO3RqKSTR6ODL3RqeXJkp2ysAB0MwAAAAAAAGGiFSjF6osBExsaFXs9cn5+5qVMLJcvudoxYwv01bceGlctocFJmGr6/U7NXDReq8VkalTAPk7nNbp7x9tq5o93O4NvroYb3y9PM2alGS1X73lckc81mGsTtVcjw20y6cvwTcFyy9PIxJNarxX3RG1tClvl6eZY0mrNXRBLbNGOHZ26ciyFc6Mo5xzW3Ne4hVT/f2xeqm+Xp5kKtFSzWT3K6ShUpt5rJ+veRhLwexhTcXaSts+TJ1IJ87Pk/synnadq6tO+adpLR/Z9Cuac1xLKpDlvumTU2nZ6/uhiad+KPxL6rZkxaCYWYaqpK68tnzRcaFRqLVWPwyymtnubqlfNFoVlI2sFieF2ej+jNW4ZetprO4VtG409EmZOd2dib/wAHry9joo9THeLxuHFas1nUgALoAAAAAAAAAAAMWMgDDjc1qmCi9Mu72NoFbUi3MJiZjhyquBktM+7XyNVwa9jvWIVKUXk0n3nNbpYn8Wtc0xy4Tgn0fTIxwtdeqyZ1amAT0du/M1p4SS/GZzWwXr7Noy1lpxa/Dy+hHha+HLo9PwXzp7q5W4Pk79H7mTSEJTVrTVr5Z6PuZVOg45xvJbc13bl8mtJZdHz8SMabXw5dHmvwEqk4yWfnzRD4XaXg9yypFN5/wlvyfuYd/hmvz1T3KTVO0JR1aV01/JbrddSnCz4HwXvF/A91sXK8Xm8uT+z2ZViYJrprl/V/MhHkmG6ZZq4au8ozyfJ8pdUzasWhUi3quR2sFiOOPVao4hf2fUaqJb5G+DJ2218sstNxt3QAem5AAAAAAAAAAAAAAAAAAADFjIArqUYvVGrVwXyvzN4GdsVbcwtF5jhxqlGS1WX0KHTt8Lt9Ud+xRVwkHqrdxzX6X+stq5/lxm/mWXmiDp5fxaa+V6eD5HSqYFr4WalTDbpp7rL/AGctsdq8w2jJWWkmvheXSX2fMxGPC/s/cvq0na0lxLpkzXUZLKD4l8s8n5symGkShVh8uX+MldX+3gReLcOWXSV/o8y1uP8AZSj6eeaIypU3zv4onyOdiP8A6Gz4Y03KT5aeJ7DA4WKSnq2k8+VzzkcFFP8AjFLe3Pvkek7Km3DPO2Se5v0mu/1fpjn32+G8AD1HGAAAAAAAAAAAAAAAAAAAAAAAAAABYjKNyQI0NWpg4vTLuNSvgHzV/U6oMr4KWXrktDgui46PwkrkZQe0fP8AB3nFEXQh8q8jnnpPiWsZ3Eo4eUnZPy5eJ26NJRSS0RJQS0RI3w4Yx/6zyZJuAA3ZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP//Z","2020.11-59.636","Compra de Materiais","STRING","null"
"marcasDeReferencia","Marcas de referência","3M QUALIDADE SIMILAR OU SUPERIOR","2020.11-59.636","Compra de Materiais","STRING","null"
"quantidade","Quantidade","56","2020.11-59.636","Compra de Materiais","INTEGER","descricaoDoItem"
"email","email","livia.xavier@alpar.com.br","2020.11-59.636","Compra de Materiais","ID","null"
"zipcode","CEP","05088-000","2020.11-59.635","Compra de Materiais","STRING","null"
"street","Logradouro","R. Aliança Liberal","2020.11-59.635","Compra de Materiais","STRING","null"
"neighborhood","Bairro","Bela Aliança","2020.11-59.635","Compra de Materiais","STRING","null"
"city","Cidade","São Paulo","2020.11-59.635","Compra de Materiais","STRING","null"
"state","Estado","SP","2020.11-59.635","Compra de Materiais","STRING","null"
"categoria","Categoria","Abaixador de língua","2020.11-59.635","Compra de Materiais","STRING","null"
"item","Item","348807 - Abaixador de língua madeira","2020.11-59.635","Compra de Materiais","STRING","null"
"descricao","Descrição","Abaixador língua, material: madeira, tipo: descartável, comprimento: 14 cm, formato: tipo espátula, largura: 1,50 cm, espessura: 2 mm.","2020.11-59.635","Compra de Materiais","STRING","null"
"descricaoComplementar","Descrição complementar","extremidade arredondada","2020.11-59.635","Compra de Materiais","STRING","null"
"apresentacao","Apresentação","Pacote 100,00 UN","2020.11-59.635","Compra de Materiais","STRING","null"
"fotoIlustrativa","Foto Ilustrativa","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAkGBxATEhUSEBIVFRUVFRISFRUSFRUWGBUVFxUXFhUVFxYYHSggGRolHRUVITEhJSkrLi4uFx8zODMtNygtLisBCgoKDg0OGhAQGi0iICUtLS0tLS0tLS0tLS0tLS0tLS8tLS0tLS0tLS0tLSstLS0tLS0tLS0tLS0tNy0tLTc3Lf/AABEIAOEA4QMBIgACEQEDEQH/xAAbAAEAAgMBAQAAAAAAAAAAAAAAAgMBBAUGB//EADMQAAIBAgQDBgYCAgMBAAAAAAABAgMRBCExURJBYQVxgZGx0TJSocHh8CJCYvETcpIG/8QAGQEBAAMBAQAAAAAAAAAAAAAAAAECAwQF/8QAJREBAAICAQMEAgMAAAAAAAAAAAECAxExBBIhIkFRYTKBQlJx/9oADAMBAAIRAxEAPwD7iAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAACuvVUVdnOn2o+UV4md8ta8rVrM8OqYuciXazzSir95qyxVR6yfg7GNuqrHC8YrS9DcyedjiaizUn45+pv4LtFyajPJ8nuTTqq2nU+C2KY8umDCMnSyAAAAAAAAAAAAAAAAAAAAMXAyYuc3F9p2doK/Vmqu1KnTyOa3VUrOmkYrTG3cuatbtCEXbNvoatLtRaSVuq9jk06iave9ymTqo1HatTFvl212rDaX09zYpYyEtHns8jzxlmUdVeOV5w1djtWDcU1onn3bnMSL8JjnHKeceuq/AxFNJ3i7xfwv7DJMX9UftNN19MtKrGz4vB93Jk0ixoojeLt4p9DntDRNGbAyRGkuxgMTxKz+Ja9epuI87SqOLUlyO7QrKSTR6WDL3RqeXJkpqdrQAdDMAAAAAAAAAAAAAADDYGSM0a1XH048792ZWu04dfIznJTiZW7Z+HHqRs2nqmRsdfFYeNVcUGuL16M5TTTtJWezPMy4prP066Xi0faNyDp53jz1W/dsy5xI8JlpfaMJ3JWIThzWvr3iE/wAomJ+UzCbLMPWsnGWcXy26rqVoMtEzE7hWY34WqSeW31W5ipC/qn1NSvCV1KHxLlykuafv0NnD11NXXc09U9id7NaQpz8N1sywhXj/AGWe63XujEJeTKcJ5WGzgsTwPPR6+5rXCLVtNZ3CsxvxL0kWZOX2Ziv6Pw9jqHq48kXruHHas1nQADRUAAAAAAAAAMMAzn9r1GopLm7Py0NLFY+cnaLtHpq+9mnO71bfizhy9TExNYb0xTzKRlMwv3f8mUsunQ5Yl0aThUa0bT6FtTE8StVjdfNH4l4cyglcvFphWaxKF7Zp8Ud1y71qiUWmV1sOnmnwy3X7masakoO0/wD0tH/2XJ9SloTDesQlTT79xCaJplPCfKmMmsnr+6FhmcU8mVJ2yfg9xE6WTsVzjZ8UVnzXzL3LDKJQnTqJpNaFEo8L/wAZPLpLbuZlrhd1pzX3NhxjJWejROtoRFimjJpuEtV9VuWsgZR2sDieNZ6rX3OITo1XGSa/2bYck0n6UvTuh6IFdCqpK6LD04ncbcYACQAAAAAa+IxUY667I0pdpvlFeLNbG343xb5d3IqPPyZ7bmI8OimONbUyjZ7ehktZjh2y9Dm03VMyv1onw7kXEgL7+a+6JL9sRaFidnKaEldWeZBT381p+CSZbY1amFlDOnmucfbYnRrp961vqu9GzchVw8ZZrKXJoiamxMOzNfilB2l58n7MvUk/3NFE6RtbuMpkmyuUbd3oImUrCClwvP4X9H7EeIy2nqO4mqzEwurrVZr2fQjRqKSv4W2exXQlw/xen9X9n1M4hcL41o8pL0kTvflGl4MJ3MoDZwOJ4Hno/wBudmLPPHR7OxP9JeHsdnT5dT2y581P5Q6QMIydznAAAAAFVahGWqNGr2b8rOmDK+GtuVq3mOHBqUWtfqV2PQOKeprVcFF6Zenkc1+mmPxbRmj3cjNCyfTuNytg5Llfu9jWcGc9qTXmGtbRPCqUP1exCxfFiST1KLbUmOHbL92LHTff9GRv59QlhS381mvwSuYQ4Vyy9H4E7Qm7PJ5o154dxzjdrbmu72LOJrVW68vPl4lqkJ8jXp1U/T/exZYVaClmsnuvvuU8Uo5SXt4P7FZhZKdPby9jCLYy2I1Iba+v5Km0ZQTVmYoTz4J621+Ze4i7mKtO62azTXJ7k7TpGC/45cD+F/C9v8fY2UUxaqRcJ5S/bSTIYeq7uEvijr1XJkqtozH6mAidodnBYniXVa+5tHAw9VxaaO3RqKSTR6ODL3RqeXJkp2ysAB0MwAAAAAAAGGiFSjF6osBExsaFXs9cn5+5qVMLJcvudoxYwv01bceGlctocFJmGr6/U7NXDReq8VkalTAPk7nNbp7x9tq5o93O4NvroYb3y9PM2alGS1X73lckc81mGsTtVcjw20y6cvwTcFyy9PIxJNarxX3RG1tClvl6eZY0mrNXRBLbNGOHZ26ciyFc6Mo5xzW3Ne4hVT/f2xeqm+Xp5kKtFSzWT3K6ShUpt5rJ+veRhLwexhTcXaSts+TJ1IJ87Pk/synnadq6tO+adpLR/Z9Cuac1xLKpDlvumTU2nZ6/uhiad+KPxL6rZkxaCYWYaqpK68tnzRcaFRqLVWPwyymtnubqlfNFoVlI2sFieF2ej+jNW4ZetprO4VtG409EmZOd2dib/wAHry9joo9THeLxuHFas1nUgALoAAAAAAAAAAAMWMgDDjc1qmCi9Mu72NoFbUi3MJiZjhyquBktM+7XyNVwa9jvWIVKUXk0n3nNbpYn8Wtc0xy4Tgn0fTIxwtdeqyZ1amAT0du/M1p4SS/GZzWwXr7Noy1lpxa/Dy+hHha+HLo9PwXzp7q5W4Pk79H7mTSEJTVrTVr5Z6PuZVOg45xvJbc13bl8mtJZdHz8SMabXw5dHmvwEqk4yWfnzRD4XaXg9yypFN5/wlvyfuYd/hmvz1T3KTVO0JR1aV01/JbrddSnCz4HwXvF/A91sXK8Xm8uT+z2ZViYJrprl/V/MhHkmG6ZZq4au8ozyfJ8pdUzasWhUi3quR2sFiOOPVao4hf2fUaqJb5G+DJ2218sstNxt3QAem5AAAAAAAAAAAAAAAAAAADFjIArqUYvVGrVwXyvzN4GdsVbcwtF5jhxqlGS1WX0KHTt8Lt9Ud+xRVwkHqrdxzX6X+stq5/lxm/mWXmiDp5fxaa+V6eD5HSqYFr4WalTDbpp7rL/AGctsdq8w2jJWWkmvheXSX2fMxGPC/s/cvq0na0lxLpkzXUZLKD4l8s8n5symGkShVh8uX+MldX+3gReLcOWXSV/o8y1uP8AZSj6eeaIypU3zv4onyOdiP8A6Gz4Y03KT5aeJ7DA4WKSnq2k8+VzzkcFFP8AjFLe3Pvkek7Km3DPO2Se5v0mu/1fpjn32+G8AD1HGAAAAAAAAAAAAAAAAAAAAAAAAAABYjKNyQI0NWpg4vTLuNSvgHzV/U6oMr4KWXrktDgui46PwkrkZQe0fP8AB3nFEXQh8q8jnnpPiWsZ3Eo4eUnZPy5eJ26NJRSS0RJQS0RI3w4Yx/6zyZJuAA3ZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP//Z","2020.11-59.635","Compra de Materiais","STRING","null"
"marcasDeReferencia","Marcas de referência","3M QUALIDADE SIMILAR OU SUPERIOR","2020.11-59.635","Compra de Materiais","STRING","null"
"quantidade","Quantidade","100","2020.11-59.635","Compra de Materiais","INTEGER","descricaoDoItem"
"hospital","Hospital","Hospital de Campanha H CMO","2020.11-59.635","Compra de Materiais","STRING","null"
"solicitanteNome","Solicitante Nome","Fernando","2020.11-59.635","Compra de Materiais","STRING","null"
"phone","Telefone","1996066980","2020.11-59.635","Compra de Materiais","STRING","null"
"email","email","fernando.jobim@alparservice.com.br","2020.11-59.635","Compra de Materiais","ID","null"
"zipcode","CEP","05088-000","2020.11-59.634","Compra de Materiais","STRING","null"
